Stage,Topic,Activity,Milestone/Indicator,Participants,Participant Group,Methods,Exemplar@SUNY,
Envision,Data Governance-Strategic/Qualitative ,Define organizational vision for research data,Vision Statement,"VPR, Campus Provost, CIO, Library Dean, Chief Medical Informatics Officer",Strategic Leaders,Task Force,"SBU Research & Innovation Task Force|https://www.stonybrook.edu/commcms/financial-sustainability/taskforces/research-and-innovation/,SBU Achieving Financial Sustainability",
Envision,Data Governance-Strategic/Qualitative ,Define organizational vision for research data,Data Management Value Proposition,"VPR, VPRED, Campus Provost, CIO, Library Dean, Chief Medical Informatics Officer, Office of Research Advancement",Strategic Leaders,Task Force,"UB RDM Steering Committee,UA Council on Research,UA Data Security Working Group,UA Data Services Group.SBU Archival Research Data Management Task Force,SBU Data Repository Task FSBU,SBU NIH DMSP Task Force",
Envision,Data Governance-Strategic/Qualitative ,Define Roles and responsibilities,RACI chart,"VPR, Campus Provost, CIO, Library Dean",Strategic Leaders,Task Force,,
Envision,Data Governance-Strategic/Qualitative ,Conduct a data needs assessment,Needs Assessment Report,"VPR, Library Dean, Researchers, CIO",Strategic Leaders,Needs Assessment,SBU Data Governance Council|https://www.stonybrook.edu/commcms/irpe/about/_files/DataGovFramework.pdf,
Envision,Data Governance-Strategic/Qualitative ,,Data Governance Council,As noted in document,Strategic Leaders,,,
Envision,Data Governance-Legal and Regulatory Compliance,Risk Assessment,Risk Assessment Report,"CISO, CIO",Connectors/Faciliators,"Task Force Subgroup, Data Governance Council",SBU Data Governance Council,
Envision,Data Governance-Legal and Regulatory Compliance,Risk Assessment,Risk mitigation and management,"CISO, CIO",Connectors/Faciliators,,,
Envision,Data Governance-Legal and Regulatory Compliance,Create an Inventory,Dataset Inventory,"IT Head, Librarian",Connectors/Faciliators,,,
Envision,Data Governance-Legal and Regulatory Compliance,Identify legal and ethical requirements,Sharing/licensing (Data and Licensing sharing templates),"Counsel, CIO, VPR, Finance and Business, Comptroller",Strategic Leaders,Create a policy review team,"UA Research Governance Council,UA Council on Research",
Envision,Data Governance-Legal and Regulatory Compliance,Identify legal and ethical requirements,Social license for use and reuse,"Library Deans, Librarians, Researchers",SME and Implementers,,,
Envision,Data Governance-Legal and Regulatory Compliance,Create Data Policies,List of Data Policies,"CISO, CIO",Connectors/Faciliators,,"UB IT Data Policies,SBU Data Policies
",
Envision,Data Culture and Reward Structure,Define Roles and responsibilities,RACI chart,"HR, Campus Provost, VPR",Strategic Leaders,,,
Envision,Data Culture and Reward Structure,Recognize values of data workers,Promotion and Tenure includes RDM,"HR, Campus Provost, VPR",Strategic Leaders,,,
Envision,Data Culture and Reward Structure,Run accuracy checks on shared data,All published data passed an accuracy check,"Researchers, Journal publishers",SME and Implementers,,Data repository (Dryad) curator check before publishing data,
Envision,Data Culture and Reward Structure,Maintainance of FAIR data,,"Researchers, Librarians, IT",SME and Implementers,,,
