SUBTOPIC,DEFINITION
E.1.1 Identification of goals and roles,"An exercise to define the objectives of, and responsible individuals for, various aspects of research data management (RDM)."
E.1.2 Vision and/or policy,"Vision: An aspirational state an organization wishes to achieve with respect to RDM.  Policy: A set of recommended and sometimes mandatory high-level principles that establish a guiding framework for RDM. [5,6]"
E.1.3 Data management organization ,"An RDM infrastructure (RDMI) of human and capital resources that supports data-related activities, e.g., policies, planning, and sharing, as well as practices and projects, e.g., data acquisition, control, and protection."
"E.1.4 Organizational values, including DEI","A set of core beliefs that function as guides to what is seen as good and important in an organization and the guiding principles that provide an organization with purpose and direction. (Values ideally include diversity, equity, and inclusivity.) [10, 11] "
E.1.5 Data management value proposition,A clear statement that indicates exactly what benefits an organization will derive from an RDM program. [12] 
E.1.6 Data needs assessment,An evaluation of the types of data that are critical to accomplish the stated goals of an organization. 
E.1.7 Purpose and value of data," A clear statement of the need for, use of, and benefit derived from, research data.  "
E.1.8 Organization intent regarding FAIR data, The extent to which an organization supports the internal adoption and use of the FAIR data principles. 
E.1.9 End-use support,"Components of the RDMI within an organization that enable data to be prepared and processed for its ultimate application, including reuse. "
E.1.10 Stewardship,The application of rigorous analyses and oversight to ensure that data assets meet the needs of users. [13] 
E.2.1 Privacy ,"The practice of protecting and properly handling sensitive data, including personal, proprietary, and confidential data"
E.2.2 Ethics ," Moral principles pertaining to data practices, e.g., analysis and dissemination, that have the potential to adversely impact people and society (e.g., to minimize bias and maintain the privacy of personal data). See also the Global Data Ethics Project. [15–17]"
E.2.3 Safety and security assurance ,"The practice of protecting digital information from unauthorized access, denial of access, theft, or corruption throughout its entire lifecycle. [18] "
E.2.4 Inventory,"A function that provides organization capabilities for archiving management such that data products can be grouped, searched and identified for retrieval, statistics and reorganization. Also, a list of available items stored and/or controlled in a storage warehouse system. [15, pg 19] "
E.2.5 Risk assessment,"A systematic process for the identification and evaluation of potential threats to and vulnerabilities of an organization’s data assets, e.g., unauthorized access to sensitive data.  [20] "
E.2.6 Risk mitigation and management,"A process for the development and implementation  of appropriate strategies to control, reduce, or eliminate potential threats to and vulnerabilities of an organization’s data assets as identified by a risk assessment. [21] "
E.2.7 Sharing/licensing,"Data sharing agreement: A formal contract that details what data are being shared and the appropriate use for the data. Licensing agreement: A formal contract that states the purpose and duration of access being provided to the recipient licensee along with restriction and security protocols the recipient licensee of the data must follow. [22, 23] "
E.2.8 Social license for use and reuse,"An unwritten agreement whereby a group of public stakeholders accept that certain datasets may be applied for purposes other than those for which the data were originally intended, e.g., healthcare data. [24] "
E.2.9 Jurisdiction for sharing and reuse,"Legal requirements as set by an authoritative entity (e.g., local and national regions) concerning the dissemination of data by an organization and subsequent use of the data by other organizations.  [25] "
E.3.1 Roles and responsibilities,The job functions and obligations that enable the establishment of a desired data culture and reward structure. 
E.3.2 Recognition of data management,Processes and practices that provide acknowledgement and rewards for good RDM at all levels in an organization. 
E.3.3 Value of data workers,Recognition of the benefits that staff performing data-centric jobs or functions provide to an organization. 
E.3.4 Promotion and tenure,"Career advancements that are linked to good research processes, practices, and outcomes. "
E.3.5 Integrity of research and data,"For research: The condition resulting from adherence to professional values and practices when conducting, reporting, applying, and disseminating results of the work.[27] For data: The accuracy, completeness, and quality of data as they are maintained over time and across formats.[28]  "
E.3.6 FAIR data principles," Guidelines that allow digital objects (e.g., data, algorithms, and workflows) to be Findable, Accessible, Interoperable, and Reusable. [29] "
E.3.7 Maintainance of FAIR data, Ongoing infrastructural support to sustain FAIR data principles and practices. 
E.3.8 Incentives and impact for sharing and reuse,Staff recognition and rewards for widespread dissemination and application of research data and the beneficial effects of such dissemination. 
E.3.9 Disincentives for sharing and reuse,"Barriers that limit dissemination of data, e.g., misinterpretation and misuse of data by others, lack of recognition, and the effort required for sharing. "
E.3.10 CARE and ethics,"The CARE (Collective benefit, Authority to control, Responsibility, and Ethics) Principles for Indigenous Data Governance are people and purpose-oriented, reflecting the crucial role of data in advancing Indigenous innovation and self-determination. (These principles complement the existing FAIR principles for indigenous data governance.)   Ethics: Moral principles pertaining to data practices, e.g., analysis and dissemination, that have the potential to adversely impact people and society (e.g., to minimize bias and maintain the privacy of personal data). [15, 30] "
E.4.1 Workforce skills inventory, A catalog of an organization's capabilities in essential data processes. 
E.4.2 Workforce preparedness in new and advanced technologies," Assessment of needs for and provision of training in the skills and expertise of an organization's staff pertinent to novel and leading-edge areas of research, e.g., AI. "
E.4.3 Data management training  ,"In-classroom, on-line, and/or hands-on instruction for staff to attain the skills and expertise required to manage data across all lifecycles. "
E.4.4 HR’s supporting role in workforce development and training,Involvement of an organization's HR department in establishing and implementing instructional courses for staff to expand their skill sets and expertise in research data programs and RDM.  
E.4.5 Promotional paths and career development," Documented approaches for recruitment, advancement, and retention of staff in data-centric jobs in an organization and expansion of data-related skills and expertise for all technical jobs.  "
E.5.1 Sources of funding,"Entities that provide financial support for research data programs and RDM infrastructure (e.g., capital and human resources). "
E.5.2 Long-term funding,Sustained financial support for research data activities and RDM infrastructure.
E.5.3 Staffing,Provision of sufficient resources to support RDM staff and researchers engaged in RDM activities. 
E.6.1 Stakeholder communities,"Individuals, groups, and organizations that have an interest or stake in RDM or research data activities in general and in particular domains. [31] "
E.6.2 Modes of communication,Ways by which information about data and data management are shared and discussed. 
E.6.3 Partners/partnerships,"Partner: Two or more organizations or individuals that share responsibility and control of ideas, processes, and outcomes of research data activities.  Partnership: An agreement between organizations and individuals to collaborate on such activities.. [32] "
E.6.4 Engagement across knowledge domains and sectors,"Interactions among groups or individuals having expertise in different specific, specialized disciplines or fields, or expertise in different technology areas. [33] "
E.6.5 Inclusivity in interactions, The practice of including all types of people or ideas and treating them all fairly and equally. [34] 
E.6.6 Data services and the beneficiaries," Solutions for data tasks (e.g., data transfer, storage, and analytics) and the organizations or individuals deriving value from such solutions. [35] "
P.1.1 Roles and responsibilities, The job functions and obligations for tracking data assets. 
P.1.2 Implementation authority,"Person empowered to grant access to data assets, e.g., a Chief Data Officer."
"P.1.3 Centralized inventory of services, groups, and resources"," An organization-wide catalog of elements supporting data-related activities at various levels of an organization, including capital (e.g., HPC), virtual (e.g., domain repositories), and human (e.g., Data Steward and AI interest group) components. "
P.1.4 Provenance," The historical, documented record of a data asset that contains details on its origin—where, when, how, and by whom it was generated/acquired/processed—and on all alterations to the data asset. [15, pg 24,31] "
P.2.1 Funding models for provisioning resources,"Approaches for providing financial support for data-related activities and infrastructure, including direct, (e.g., grants, contracts, and institutional), overhead, or mixed. [38] "
P.2.2 Funding sources,"Entities that provide financial support for research data activities and infrastructure, e.g., capital and human resources. "
P.2.3 Decision-making tools to assess costs,"Methods to determine the financial requirements of various data activities and infrastructure (e.g., cost-benefit analysis, market analysis, and decision trees). "
P.2.4 Cost-benefit analysis,A systematic approach to estimating the strengths and weaknesses of alternative actions to determine options which provide the best approach to achieving benefits while preserving savings. [39] 
P.2.5 Cost breakdown by lifecycle stage,"Identification of funds required for each data activity in a project (e.g., hardware, software, and staffing for data generation), or for an RDM infrastructure (e.g., centralized data services)."
P.2.6 Downstream lifecycle costs,"Funds required after establishment of an RDM infrastructure (e.g., technology refresh and maintenance) or for later-stage data activities (e.g., long-term preservation).  "
