TOPIC,SUBTOPIC,Consideration For (Inputs),Activity,Outcomes (see comment),Milestone Indicator (Outputs),Participants,Participant Group,Method,Exemplar@SUNY,Guiding documents
E.1. Data Governance—Strategic/Qualitative,E.1.1 Identification of goals and roles,,Convene data governance group (strategic Level),"Institutional Data Governance goals identified and defined, Research Data goals are indentified and defined",Overarching goal statements,"VPR, Campus Provost, CIO, Library Dean",Strategic Leaders,Create Data Governance Council,,"[""Data Governance Institute Guidance""| https://datagovernance.com/the-data-governance-basics/]"
"The policies, procedures, and processes pertaining to authority, control,",E.1.1 Identification of goals and roles, ,Convene data governance group (strategic Level),"Institutional Data Governance roles and responsibilities are identified and defined, Research Data Governance roles and responsibilities are identified and defined","RACI matrix, Data Curation Roles Planning Matrix","VPR, Campus Provost, CIO, Library Dean",Strategic Leaders,Task Force,,"[""Research Data Curation - EDUCASE Working Group Paper""|https://library.educause.edu/-/media/files/library/2018/5/ewg1803pdf.pdf]"
"and shared decision-making (planning, monitoring, and enforcement) over the management of data assets",,,,,,,,,,
,E.1.2 Vision and/or policy,,Convene data governance group (strategic Level),Institution has a clearly defined vision for data management (including research data),Vision statement,"VPR, Campus Provost, CIO, Library Dean",Strategic Leaders,Create Data Governance Council,"[""Stony Brook Data Governance Framework""|https://www.stonybrook.edu/commcms/irpe/about/_files/DataGovFramework.pdf], [""Binghamton Data Governance Policy""|https://www.binghamton.edu/operations/policies/policy-300.html]",
,E.1.2 Vision and/or policy,,Convene data governance group (strategic Level),Institution has a clearly defined high-level policies for data management (including research data),"Data policies, Research data specific policies","VPR, Campus Provost, CIO, Library Dean",Strategic Leaders,Create Data Governance Council,"[""Stony Brook Research Data Ownership Retention and Access Policy""|https://www.stonybrook.edu/policy/_pdf/research_data_ownership_retention_and_access_policy.pdf]",
,E.1.3 Data management organization ,,Build organizational infrastructure to support RDM ,RDM organization to support data-related activities exists,,"VPR, Campus Provost, CIO, Library Dean",Strategic Leaders,Create Data Governance Council (strategic level) and Data Governance Working Group (tactical level),,
,"E.1.4 Organizational values, including DEI","E.1.1, E.1.2, E.1.5",,,,,,,,
,E.1.5 Data management value proposition,,Convene data governance group ,Institution has a clearly defined statement of purpose and value for all data including research data,Data Management Value Statement,"VPR, Campus Provost, CIO, Library Dean",Strategic Leaders,Strategic planning,,
,E.1.6 Data needs assessment,,Conduct data needs assessments,"Data needs assessment completed at the desired level of analysis including: researcher, student, discipline, institution, unit, library",Data Needs Assessment reports,"Librarians, Researchers, IT office, Students",Connectors/Facilitators,"Needs assessments, stakeholder survey, investigate number of, size, publishing location of datasets, investigate existing grant funded projects and grants",,"[""ARL/CARL Joint Task Force on Research Data Services Final Report""| https://www.arl.org/wp-content/uploads/2021/07/2021.07.16-arl-carl-joint-task-force-on-research-data-services-final-report.pdf]"
,E.1.7 Purpose and value of data,"E.1.5, E.1.2",,,Vision statement,"VPR, Campus Provost, CIO, Library Dean",Strategic Leaders,Strategic planning,,
,E.1.8 Organization intent regarding FAIR data,,,Organizational intent regarding FAIR data is well defined across the institution and contributes to vision and policy,FAIR is integrated into research policies,"Librarians, Researchers, IT office, Students",Connectors/Facilitators,,,"[""The FAIR Guiding Principles for scientific data management and stewardship""| https://www.nature.com/articles/sdata201618], [""FAIR Principles from Go-FAIR""| https://www.go-fair.org/fair-principles/]"
,E.1.9 End-use support,,,Research data is prepared and processed for end use and resuse,Data usage statistics demonstrate data use and reuse,Librarians and researchers,SME and Implementers,,,
,E.1.10 Stewardship,E.1.3,,,,,,,,
E.2 Data Governance—Legal and Regulatory Compliance  ,E.2.1 Privacy ,,,"Data governance legal policies, framework, and plans exist and are continually updated ","Data policies, Research data specific policies",,,,,
"The policies, procedures, and processes to manage and monitor an organization’s regulatory [and] legal responsibilities and risks pertaining to data.",E.2.2 Ethics ,"E.1.3, E.2",,Research is conducted ethically,,IRB,SME and Implementers,,,
,E.2.3 Safety and security assurance ,E.2,,,,,,,,
,E.2.4 Inventory,,Conduct a dataset inventory,"Dataset inventory exists and includes relevant dataset metadata including: repository, identifiers, data usage metrics, creators, funders, supporting grants",Dataset inventory,"IT Head, Librarian",Connectors/Facilitators,Inventory,,
, ,,Conduct a data services inventory,Data services inventory: includes relevant data services provided across institution or unit,Data Services inventory,"IT Head, Librarian",Connectors/Facilitators,Inventory,"Engage with Security Operations Center (SOC) Information Security Working Group, Enterprise Risk Management Committee","[""Research Data Curation - EDUCASE Working Group Paper""|https://library.educause.edu/-/media/files/library/2018/5/ewg1803pdf.pdf], [""Research Data Services in US Higher Education - Ithaka S+R""|https://sr.ithaka.org/publications/research-data-services-in-us-higher-education/]"
,E.2.5 Risk assessment,,Conduct a risk assessment,"Risk is assessed and includes risks associated with unmanaged data, research subject privacy, data preservation, funder compliance",Risk Assessment,"CISO, CIO, Chief Officer for Risk and Compliance",Connectors/Facilitators,Many Risk Assessment tools and framework (NISTIR 8062),,
,E.2.6 Risk mitigation and management,E.2.5,Implement solutions to mitigate and manage risk discovered in risk assessment,"Risks determined in risk assessment are mitigated, managed, and controlled","Risk mitigation plan, Data Governance plans","CISO, CIO, Chief Officer for Risk and Compliance",Connectors/Facilitators,Many Risk Mitigation tools,,
,E.2.7 Sharing/licensing,,,Policies for sharing and licensing data exist,Data Use Agreement,Counsel,SME and Implementers,,,
,E.2.8 Social license for use and reuse,,,Community standards for social licensing of and (re)use of data exist,,,,,,
,E.2.9 Jurisdiction for sharing and reuse,E.2.7,,,,Counsel,SME and Implementers,,,
E.3 Data Culture and Reward Structure,E.3.1 Roles and responsibilities,,Define roles and responsibilities for building a strong data sharing culture and rewards structure,Roles and responsibilities are identified and defined for a strong data sharing culture with rewards structure,"RACI matrix, Data Curation Roles Planning Matrix","VPR, Campus Provost, Library Dean, HR, Department Chairs, Students, Faculty Senate",Strategic Leaders,Task Force,,
The collective beliefs and behaviors of the people in an organization concerning the value and management of research data. Practices designed to recognize the advantages and accomplishments of sharing data.,E.3.2 Recognition of data management,,Build a data culture,Data management work is recognized and supported ,"Recognition for data management through awards, professional expectations, data metrics, promotion","VPR, Campus Provost, Library Dean, HR, Librarians, Researchers",Strategic Leaders,"Task Force, Campus working groups",,"[""Helios Open""|https://www.heliosopen.org/ourwork]"
,E.3.3 Value of data workers,,Build a data culture,Data workers are valued and data work is recognized and supported ,"Recognition for data sharing and open data through awards, professional expectations, data metrics, promotion","HR, Faculty, Administrators",Connectors/Facilitators,Data Governance Council,,
,E.3.4 Promotion and tenure,,Build a data culture,Promotion and tenure reflect the importance of open research and scholarship,"Data sharing is incentivized in promotion and tenure work through use of data metrics and open publishing, community engagement","VPR, Campus Provost, Library Dean, HR, Department Chairs, Students, Faculty Senate",,,,
,E.3.5 Integrity of research and data,,Integrate integrity or research and data into curriculum and RDM training,Researchers are expected to follow standard practices to ensure research and outputs maintain integrity,,"Librarians, Researchers",SME and Implementers,Data Governance Council,,
,E.3.5 Integrity of research and data,,"Perform accuracy checks on all shared or published datasets, Create README files",Data is checked for accuracy before publishing and sharing,,"Librarians, Researchers",SME and Implementers,,,
,E.3.6 FAIR data principles,P.5,,FAIR data principles are integrated into data culture in organization,RDM training includes FAIR,"Librarians, Researchers",SME and Implementers,,,"[""The FAIR Guiding Principles for scientific data management and stewardship""| https://www.nature.com/articles/sdata201618], [""FAIR Principles from Go-FAIR""| https://www.go-fair.org/fair-principles/]"
,E.3.7 Maintenance of FAIR data,"E.3.6, P.5",,Data sharing infrastructure supports FAIR data,,,,,,
,E.3.8 Incentives and impact for sharing and reuse,,,Appropriate incentives (or disincentives) exist for data sharing and reuse,Data usage metrics exist,,,,,
,E.3.9 Disincentives for sharing and reuse,E.3.8,,,,,,,,
,E.3.10 CARE and ethics,E.2.9,,"Principles for Indigenous Data Governance are respected (CARE, OCAP, and ethics)",Statement on Indigenous ethics of ownership,"Librarians, Researchers",SME and Implementers,,,"[""First Nation Principles of Ownership""|https://fnigc.ca/ocap-training/], [""CARE Principles""| https://www.gida-global.org/care], [""DCN CARE Data Primer""| https://github.com/DataCurationNetwork/data-primers/blob/main/CARE%20Primer/care-primer.md] "
E.4 Education and Workforce Development,E.4.1 Workforce skills inventory,E.2.4,Conduct a Workforce skills inventory to determine an organization's internal capacity to conduct and support RDM,Internal workforce skills inventory exists to document strengths and weaknesses in workforce capacity to conduct RDM,Workforce skills inventory (internal),"Department Deans, Provost",Connectors/Facilitators,Skills inventory,,
Training to provide staff with the necessary skills and expertise for data-related activities and RDM. Includes leadership support and formal and informal training., ,,Conduct a Workforce skills inventory to determine needs for students to build workforce skills to conduct or support RDM,Statewide workforce skills inventory exists to document strengths and weaknesses in workforce capacity to conduct RDM across NYS are documented,Inventory of state workforce needs that can be addressed through education,System Admin,Strategic Leaders,Skills inventory,,
,E.4.2 Workforce preparedness in new and advanced technologies,,Provide training and opportunities for employees to build their skills and expertise in emerging technologies,Institution can support RDM through Institutional workforce preparedness activities in new and advanced technologies ,Suite of internal workforce training offered,"Department Deans, Provost",Connectors/Facilitators,Training,,
, ,,Build workforce preparedness programs for emerging technologies for state workforce,State Workforce is well prepared to adapt and innovate in response to emerging technologies,Educational programs equip students to work with data and emerging technologies,System Admin,Strategic Leaders,Training,,
,E.4.3 Data management training  ,,Provide research data management training as a data service,"RDM training is available for researchers, faculty, staff, and students",Asynchronous and synchronous RDM training,"Librarians, IT, Research Administrators",SME and Implementers,"Asynchronous web-based training, short courses, integrated training in education offerings",,
,E.4.4 HR’s supporting role in workforce development and training,,Provide research data management training to data service providers,Continual opportunities for RDM training for staff supported,Organization funds training and employee time spent on training,"HR, Librarians, IT, Research and Economic Development",SME and Implementers,"Data curation, preservation, management training opportunities inform providers of RDM services",,
,E.4.5 Promotional paths and career development,"E.3.3, E.3.4",,,,,Connectors/Facilitators,,,
E.5 Resources—Allocation and Sustainability,E.5.1 Sources of funding,,Determine initial financial support models to launch RDM infrastructure,RDM is funded through dedicated financial resources (may be temporary),Sources of funding discovered and captured,"Finance, Research and Economic Development, VPR, Provost",Strategic Leaders,Apply for grants,,
The distribution and longevity of funding to attain and maintain robust research data programs and RDM infrastructure.,E.5.2 Long-term funding,,Integrate RDM costs into sustainable financial models,RDM funding is operationalized with long-term funding,Long-term funding integrated into budget,"Finance, Research and Economic Development, VPR, Provost",Strategic Leaders,Budget process,,
 ,E.5.3 Staffing,,"Increase existing staff skills in RDM, redeploy existing staff, or hire new staff members with RDM skills",Staffing is considered in resource allocation,Organization chart,"HR, Finance, Research and Economic Development, VPR, Provost",Strategic Leaders,Training,,
E.6 Community Engagement,E.6.1 Stakeholder communities,,"Build Stakeholder communities of practice: local, campus, system, national, international",Active RDM stakeholder communities exist,Active communities of practice exist along continuum of emergent data community to established data community,"Librarians, Researchers, Faculty, Administration",Connectors/Facilitators,"Communities of Practice, Task Groups, Mentor models, GRANTED work","GRANTED, Data Curation Network, SUNY campus groups, SUNY system groups ","[""Leveraging Data Communities to Advance Open Science - Ithaka S+R""|https://sr.ithaka.org/publications/leveraging-data-communities-to-advance-open-science/]"
Outreach and interactions among organizations or individuals with shared goals or interests concerning research data activities or RDM,E.6.2 Modes of communication,,Establish communication channels,Consistent modes of communication are established,,"Librarians, Researchers, Faculty, Administration",Connectors/Facilitators,,,
,E.6.3 Partners/partnerships,,Map potential local stakeholders and partners,"Relevant unit, departmental, institutional, SUNY system-wide, state, national, and funder partnerships are built and nurtured ",,,"Connectors/Facilitators
Strategic Leaders",,,
,E.6.4 Engagement across knowledge domains and sectors,E.6.1,,,,,,,,
,E.6.5 Inclusivity in interactions,"E.6.1, E.1.4",,,,,,,,
,E.6.6 Data services and the beneficiaries,"E.6.1, E.2.4",,"Data services across the institution are offered, documented, and appropriate for researcher needs. ",,"Librarians, Research Administrators",Connectors/Facilitators,,,"[""ARL/CARL Joint Task Force on Research Data Services Final Report""| https://www.arl.org/wp-content/uploads/2021/07/2021.07.16-arl-carl-joint-task-force-on-research-data-services-final-report.pdf]"
P.1 Chain of Control (Custody of Data),P.1.1 Roles and responsibilities (Chain of Control),P.1,,"Ownership of data assets within research project is documented, controlled, and managed",,"Researcher, IT",SME and Implementers,,,
"A complete, fully documented step-by-step history of a data asset in an organization, i.e., who has possession of a data asset, at what time, and for what purpose, at all times throughout the lifecycle of the data asset.",P.1.2 Implementation authority,"E.1.1, P.1",,,,,,,,
 ,"P.1.3 Centralized inventory of services, groups, and resources",,Conduct project-specific inventory,"Project-specific inventory of services, groups, and resources exists",,Researcher,SME and Implementers,,,
 ,P.1.4 Provenance,P.1.1,,,,"Researcher, Sponsored Programs Research Office",SME and Implementers,,,
P.2 Financial Aspects of Planning,P.2.1 Funding models for provisioning resources (project),P.2,Estimate costs for research project and find suitable funding sources.,Project planning includes financial considerations to consider in estimating or assessing the costs associated with all research data and RDM activities over the data lifecycle,,Researcher,SME and Implementers,,,"[""Making Research Data Publicly Accessible: Estimates of Institutional & Researcher Expenses""|https://doi.org/10.29242/report.radsexpense2024], [""Cost and Value of Data"" | https://www.ncbi.nlm.nih.gov/books/NBK562702/]"
Factors to consider in estimating or assessing the costs associated with all research data and RDM activities over the data lifecycle.,P.2.2 Funding sources (project),P.2,,,,Researcher,SME and Implementers,,,
