TOPIC,SUBTOPIC,Consideration For (Inputs),Activity,Outcomes (see comment),Milestone Indicator (Outputs),Participants,Participant Group,Method,Exemplar@SUNY,Guiding documents,
E.1. Data Governance—Strategic/Qualitative,E.1.1 Identification of goals and roles,,Convene data governance group ,Institutional Data Governance goals identified and defined,Overarching goal statements,"VPR, Campus Provost, CIO, Library Dean",Strategic Leaders,,,,
"The policies, procedures, and processes pertaining to authority, control,",E.1.1 Identification of goals and roles, ,Convene data governance group ,Institutional Data Governance roles and responsibilities are identified and defined,"RACI matrix, Data Curation Roles Planning Matrix","VPR, Campus Provost, CIO, Library Dean",Strategic Leaders,Task Force,,Research Data Curation: A Framework for an Institution-Wide Services Approach (educause.edu),
"and shared decision-making (planning, monitoring, and enforcement) over the management of data assets",,,,,,,,,,,
,E.1.2 Vision and/or policy,,Convene data governance group ,Institution has a clearly defined vision for research data management,Vision statement,"VPR, VPRED, Campus Provost, CIO, Library Dean, Chief Medical Informatics Officer, Office of Research Advancement",Strategic Leaders,Task Force,,,
,E.1.2 Vision and/or policy,,Convene data governance group ,Institution has a clearly defined high-level policies for research data management,Data policies,"VPR, VPRED, Campus Provost, CIO, Library Dean, Chief Medical Informatics Officer, Office of Research Advancement",Strategic Leaders,Task Force,Next sheet,,
,E.1.3 Data management organization ,,Build RDM infrastructure,RDM infrastructure of human and capital resources that support data-related activities exists,,"VPR, VPRED, Campus Provost, CIO, Library Dean, Chief Medical Informatics Officer, Office of Research Advancement",Strategic Leaders,"Create Data Governance Council, Data Stewardship Council",,,
,"E.1.4 Organizational values, including DEI","E.1.1, E.1.2, E.1.5",,,,,,Strategic planning,,,
,E.1.5 Data management value proposition,,Convene data governance group ,Institution has a clearly defined statement of purpose and value for research data,Data Management Value Statement,"VPR, Campus Provost, CIO, Library Dean",Strategic Leaders,Strategic planning,,,
,E.1.6 Data needs assessment,,Conduct data needs assessments,"Data needs assessment completed at the desired level of analysis including: researcher, student, discipline, institution, unit, library",Data Needs Assessment reports,"VPR, Library Dean, Researchers, CIO, Student",Connectors/Facilitators,"Needs assessments, stakeholder survey, investigate number of, size, publishing location of datasets, investigate existing grant funded projects and grants",,,
,E.1.7 Purpose and value of data,"E.1.5, E.1.2",,,Vision statement,"VPR, Campus Provost, CIO, Library Dean",Strategic Leaders,Strategic planning,,,
,E.1.8 Organization intent regarding FAIR data,,,Organizational intent regarding FAIR data is well defined across the institution and contributes to vision and policy,,"VPR, VPRED, Campus Provost, CIO, Library Dean, Chief Medical Informatics Officer, Office of Research Advancement",Strategic Leaders,Data Governance Council,,,
,E.1.9 End-use support,,,Support for end users included in institutional RDM and data governance standards,,,,,,,
,E.1.10 Stewardship,E.1.3,,,,,,,,,
E.2 Data Governance—Legal and Regulatory Compliance  ,E.2.1 Privacy ,,,"Data governance legal policies, framework, and plans exist and are continually updated ",Data governance policies,,,,,,
